 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Median
814,122.710,255,255,255,1104.385,1064.977,52.613,1098.692,1055.893,11.726,17.588,16.311,9.578,91.509,255
815,862.065,255,255,255,1235.587,1074.918,119.841,1218.293,1057.066,36.936,32.832,37.268,29.452,146.664,255
816,1672.228,255,255,255,1584.528,1083.209,178.033,1558.923,1057.066,45.144,58.042,57.447,37.063,116.209,255
817,952.121,255,255,255,1447.911,1080.177,136.257,1429.355,1057.652,34.004,42.212,39.201,30.925,108.893,255
818,1430.932,255,255,255,1619.747,1083.128,156.618,1603.480,1058.825,35.763,52.179,52.977,34.390,93.959,255
819,1452.587,255,255,255,744.811,1086.094,161.249,724.058,1060.583,41.626,51.593,53.592,34.511,104.952,255
820,437.907,255,255,255,1719.081,1078.316,113.292,1709.011,1060.583,19.347,40.453,35.272,15.808,82.253,255
821,1520.301,255,255,255,796.926,1095.288,173.377,776.823,1061.756,35.763,60.973,59.543,32.509,77.446,255
822,685.390,255,255,255,460.330,1078.505,107.973,444.401,1062.342,29.314,34.591,31.969,27.297,93.123,255
823,1182.418,255,255,255,1201.613,1082.689,140.261,1183.116,1062.342,38.108,42.212,41.148,36.588,66.911,255
824,1228.133,255,255,255,1409.448,1084.805,157.044,1385.970,1064.101,43.385,42.799,45.314,34.508,50.714,255
825,843.848,255,255,255,1915.540,1082.909,123.702,1899.552,1065.274,38.695,34.004,36.323,29.579,119.938,255
826,721.825,255,255,255,1321.846,1081.208,109.548,1303.890,1067.619,35.177,28.142,34.827,26.389,165.074,255
827,451.312,255,255,255,1810.822,1087.081,85.552,1798.126,1069.964,23.451,30.487,27.593,20.825,72.319,255
828,1533.018,255,255,255,2027.205,1095.410,159.910,2011.532,1069.964,35.763,55.697,57.997,33.655,77.989,255
829,375.349,255,255,255,978.095,1083.529,81.004,963.847,1071.723,28.728,22.865,28.499,16.769,144.873,255
830,902.281,255,255,255,1873.232,1090.092,117.899,1857.926,1071.723,32.245,36.936,37.433,30.690,111.768,255
831,1094.768,255,255,255,19.653,1093.613,129.305,1.759,1072.309,35.763,41.040,39.602,35.198,107.182,255
832,1324.720,255,255,255,1994.620,1098.626,150.647,1976.355,1072.895,33.418,49.248,50.519,33.387,73.734,255
833,1403.090,255,255,255,91.207,1099.242,152.982,70.354,1074.654,41.626,46.903,43.705,40.876,81.938,255
834,648.611,255,255,255,1847.360,1090.785,103.946,1833.303,1074.654,25.796,34.004,34.133,24.195,108.045,255
835,780.946,255,255,255,1270.555,1092.443,113.090,1252.884,1076.999,36.349,32.832,33.381,29.787,179.180,255
836,602.208,255,255,255,400.093,1093.068,95.218,385.187,1078.172,29.900,28.728,28.697,26.719,0.222,255
837,758.260,255,255,255,613.780,1097.724,109.406,599.180,1081.690,29.900,32.832,34.602,27.902,67.153,255
838,613.895,255,255,255,1531.002,1099.439,103.852,1516.710,1083.448,31.073,31.659,32.139,24.320,132.259,255
839,216.204,255,255,255,215.446,1096.179,56.960,205.785,1087.552,18.761,16.416,16.951,16.240,6.453,255
840,140.240,255,255,255,1680.341,1094.378,53.300,1672.075,1087.552,16.416,15.243,16.517,10.811,31.342,255
841,715.981,255,255,255,1960.746,1104.227,109.524,1942.937,1089.897,32.245,29.314,36.229,25.162,138.296,255
842,1409.965,255,255,255,243.063,1115.635,168.652,211.648,1092.243,57.456,42.799,55.396,32.407,161.759,255
843,225.828,255,255,255,922.826,1098.891,86.073,910.495,1092.829,35.177,15.243,30.277,9.497,16.894,255
844,213.798,255,255,255,1772.775,1101.642,63.711,1762.362,1094.001,22.279,13.484,20.977,12.977,6.139,255
845,724.575,255,255,255,937.770,1111.396,109.573,917.531,1095.174,35.763,32.245,33.990,27.142,20.304,255
846,978.588,255,255,255,373.270,1116.684,130.159,353.528,1095.760,40.453,38.695,42.572,29.267,137.967,255
847,724.231,255,255,255,1570.230,1115.478,121.867,1556.578,1095.760,30.487,44.557,36.771,25.077,105.123,255
848,635.893,255,255,255,284.682,1115.800,96.532,270.862,1101.037,28.728,32.245,30.260,26.756,62.758,255
849,1101.298,255,255,255,1448.696,1123.200,132.278,1430.527,1101.623,35.763,43.385,44.312,31.644,69.098,255
850,1235.352,255,255,255,1106.495,1124.893,142.772,1081.103,1105.141,48.661,36.936,44.878,35.048,15.240,255
851,1524.425,255,255,255,1248.840,1128.423,164.212,1224.156,1105.141,46.903,49.834,50.948,38.097,50.267,255
852,1031.866,255,255,255,1698.029,1126.992,146.006,1679.110,1105.727,41.626,39.867,45.713,28.741,136.603,255
853,498.403,255,255,255,1196.527,1120.564,92.303,1181.357,1106.313,27.555,28.142,28.683,22.124,127.268,255
854,474.686,255,255,255,41.949,1119.749,89.473,27.555,1108.072,28.728,22.865,27.736,21.791,3.335,255
